project_name,project_url,num_commits,project_age_days,project_created_at,num_contributors,num_pull,num_issues,num_stargazers,num_watchers,num_forks,num_subscribers,Aggregate-Score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,num_bug_high,num_bug_medium,num_bug_low,num_bug_blocker,num_vulnerabilities_high,num_vulnerabilities_medium,num_vulnerabilities_low,num_vulnerabilities_blocker,num_code_smell_high,num_code_smell_medium,num_code_smell_low,num_code_smell_blocker
webrecorder/pywb,https://github.com/webrecorder/pywb,2313,3978,2013-12-09,57,433,913,1377,1377,216,61,4.2,10,1,3,0,6,10,10,10,0,10,0,10,0,0,0,-1,0,0,17,106,24,1,0,0,0,0,796,716,108,31
wolfssl/wolfcrypt-py,https://github.com/wolfssl/wolfcrypt-py,233,3105,2016-04-29,13,59,65,31,31,19,20,6.0,10,6,2,0,10,10,10,0,0,0,8,-1,0,0,0,8,10,10,0,1,1,1,0,0,0,0,44,410,176,1
wordops/wordops,https://github.com/wordops/wordops,2136,2451,2018-02-12,31,282,697,1344,1344,210,55,5.5,10,0,10,0,0,10,10,10,0,10,10,-1,0,10,0,-1,0,8,0,0,0,0,0,0,0,0,33,13,65,0
wsh032/fastapi-proxy-lib,https://github.com/wsh032/fastapi-proxy-lib,50,356,2023-11-08,3,33,38,26,26,4,1,4.6,10,3,10,0,0,0,10,10,0,10,0,10,0,8,0,0,0,10,0,2,0,0,0,0,0,0,3,60,5,0
xi/django-mfa3,https://github.com/xi/django-mfa3,158,1227,2021-06-20,6,13,23,22,22,8,3,4.5,10,3,-1,0,0,0,10,10,0,10,1,10,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,3,6,10,0
xsuchy/modulemd,https://github.com/xsuchy/modulemd,108,2976,2016-09-05,8,1,1,0,0,0,3,2.8,10,0,-1,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,4,0,0,0,0,0,0,0,42,141,56,1
xsuchy/templated-dictionary,https://github.com/xsuchy/templated-dictionary,55,1441,2020-11-18,3,3,6,5,5,2,5,3.5,10,0,6,0,2,10,10,0,0,10,3,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,4,11,0
yelp/osxcollector,https://github.com/yelp/osxcollector,342,3739,2014-08-04,14,101,176,1875,1875,242,125,3.1,10,0,0,0,4,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,1,13,63,0,3,0,0,0,116,106,98,2
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,22812,1464,2020-10-26,384,3183,11146,86328,86328,6726,507,6.7,10,3,10,0,7,10,10,0,0,10,10,10,0,10,0,8,9,10,0,0,0,0,0,0,0,0,7,1,3,0
zauberzeug/nicegui,https://github.com/zauberzeug/nicegui,5713,1271,2021-05-07,125,852,1881,9844,9844,587,72,5.7,10,0,8,0,5,10,10,10,0,10,10,10,0,0,0,-1,0,10,16,1,0,0,0,0,0,0,7,18,10,0
zwczou/weixin-python,https://github.com/zwczou/weixin-python,135,2981,2016-08-31,17,25,92,1617,1617,399,64,2.9,10,0,0,0,6,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,4,4,1,0
